code,destination,domain,cutoff,counts
0,alcohol_offlicence_nsw_2017,Alcohol,,800
0,alcohol_offlicence_qld_2017,Alcohol,,800
0,alcohol_offlicence_vic_2017,Alcohol,,800
0,alcohol_offlicence_wa_2017,Alcohol,,800
1,alcohol_onlicence_nsw_2017,Alcohol,,400
1,alcohol_onlicence_qld_2017,Alcohol,,400
1,alcohol_onlicence_vic_2017,Alcohol,,400
1,alcohol_onlicence_wa_2017,Alcohol,,400
2,conveniencestores_2014,Convenience,1600,
3,newsagents_2014,Convenience,1600,
4,petrolstations_2014,Convenience,1600,
5,fastfood_2017,Food,,3200
6,supermarkets_2017,Food,1600,3200
7,GTFS_Qld_stop_30_mins_2017,Transport,400,
8,GTFS_Qld_stops_2017,Transport,1600,
7,GTFS_SA_stop_30_mins_2017,Transport,400,
8,GTFS_SA_stops_2017,Transport,1600,
7,GTFS_Tas_stop_30_mins_2017,Transport,400,
8,GTFS_Tas_stops_2017,Transport,1600,
7,GTFS_Vic_stop_30_mins_2017,Transport,400,
8,GTFS_Vic_stops_2017,Transport,1600,
9,GTFS_Vic_stops_bus_2017,Transport,400,
10,GTFS_Vic_stops_train_2017,Transport,600,
11,GTFS_Vic_stops_tram_2017,Transport,800,
7,GTFS_WA_stop_30_mins_2017,Transport,400,
8,GTFS_WA_stops_2017,Transport,1600,
12,GTFS_WA_stops_bus_2017,Transport,400,
13,GTFS_WA_stops_train_2017,Transport,800,
7,GTFS_ACT_stop_30_mins_2017,Transport,400,
8,GTFS_ACT_stops_2017,Transport,1600,
7,GTFS_NSW_stop_30_mins_2017,Transport,400,
8,GTFS_NSW_stops_2017,Transport,1600,
14,GTFS_NSW_stop_15_mins_train_2017,Transport,800,
15,GTFS_NSW_stop_30_mins_bus_2017,Transport,400,
7,GTFS_NT_stop_30_mins_2017,Transport,400,
8,GTFS_NT_stops_2017,Transport,1600,
100,activity_centres_2017,Other,3200,
