ind,tags,locale,Description,Query,Source
walk_1,,Melb,% of street blocks with a perimeter of < 720 m (i.e. between 120 m and 240 m long and 60 m and 120 m wide),,
walk_2,_hard,Melb,< / >= 80% dwellings < 1 km of an activity centre with a supermarket,(CASE WHEN ind_activity.distance <  1000 THEN 1 WHEN ind_activity.distance >= 1000 THEN 0 ELSE NULL END) as walk_12_hard,LEFT JOIN ind_activity ON p.gnaf_pid = ind_activity.gnaf_pid
walk_2,_soft,Melb,< / >= 80% dwellings < 1 km of an activity centre with a supermarket,"1-1/(1+exp(-5*(ind_activity.distance-1000)/1000::double precision)) AS walk_12_soft,",LEFT JOIN ind_activity ON p.gnaf_pid = ind_activity.gnaf_pid
walk_3,,Melb,</ >= 15 dwellings per net developable hectare,,
walk_4,,Perth,% of street blocks with a perimeter of < 720 m (i.e. <240 m long and <120 m wide),,
walk_5,,Perth,% dwellings < 400 m network distance of a secondary or district centre or < 200 m network distance of a neighbourhood centre,,
walk_6,,Perth,< / >= 26 dwellings per net developable hectare,,
walk_7,,Perth,% residential lots by size: ?350m2; >350 - ?550m2; >550 - ?750m2; >750 - ?950m2; >950 m2,,
walk_8,,Bris,% of street blocks with a perimeter of < 560 m (i.e. between 100 m and 200 m long and 40 m and 80 m wide),,
walk_9,,Bris,< / >= 15 dwellings per hectare for suburban areas,,
walk_10,,Bris,< / >= 30 dwellings per hectare for urban areas ( higher density neighbourhoods typically located around a major centre or secondary centre or large transit node),,
walk_11,,Syd,< / >= 15 dwellings per hectare for new residential release areas,,
walk_12,,"Adelaide,Bris,Canberra,Darwin,Hobart,Melb,Perth,Syd,Mitchell","Average distance to closest activity centre, where activity centre is defined as a supermarket < a commercial zoned Mesh Block","ind_activity.distance AS walk_12,",LEFT JOIN ind_activity ON p.gnaf_pid = ind_activity.gnaf_pid
walk_13,,"Adelaide,Bris,Canberra,Darwin,Hobart,Melb,Perth,Syd,Mitchell","average pedshed ratio, defined as the area of properties adjoining the 400 m pedestrian network distance from each residential dwelling divided by the radial ""crow flies"" area < 400 m; i.e. 50.2 ha.",,
walk_14,_hard,"Adelaide,Bris,Canberra,Darwin,Hobart,Melb,Perth,Syd,Mitchell","average number of daily living types present, measured as a score of 0-3, with 1 point for each category of (convenience store/petrol station/newsagent, PT stop, supermarket) < 1600m network distance","ind_daily_living.dl_hard AS walk_14_hard,",LEFT JOIN ind_daily_living ON p.gnaf_pid = ind_daily_living.gnaf_pid
walk_14,_soft,"Adelaide,Bris,Canberra,Darwin,Hobart,Melb,Perth,Syd,Mitchell","average number of daily living types present, measured as a score of 0-3, with 1 point for each category of (convenience store/petrol station/newsagent, PT stop, supermarket) < 1600m network distance","ind_daily_living.dl_soft AS walk_14_soft,",LEFT JOIN ind_daily_living ON p.gnaf_pid = ind_daily_living.gnaf_pid
walk_15,,"Adelaide,Bris,Canberra,Darwin,Hobart,Melb,Perth,Syd,Mitchell","street connectivity, measured as 3+ leg intersection count/area in km2, where the area is computed from the 1600m pedestrian-accessible street network buffered by 50m","sc_nh1600m.sc_nh1600m AS walk_15,",
walk_16,,"Adelaide,Bris,Canberra,Darwin,Hobart,Melb,Perth,Syd,Mitchell","dwelling density, calculated as the aggregate sum of dwellings recorded in the meshblock polygons intersecting the 1600m pedestrian-accessible street network once buffered by 50m (""neighbourhood"") and divided by the ""neighbourhood"" area in hectares.","dd_nh1600m.dd_nh1600m AS walk_16,",LEFT JOIN dd_nh1600m ON p.gnaf_pid = dd_nh1600m.gnaf_pid
walk_17,_hard,"Adelaide,Bris,Canberra,Darwin,Hobart,Melb,Perth,Syd,Mitchell","composite walkability index, combining street connectivity, dwelling density and daily living destinations","ind_walkability.wa_hard AS walk_17_hard,",LEFT JOIN ind_walkability ON p.gnaf_pid = ind_walkability.gnaf_pid
walk_17,_soft,"Adelaide,Bris,Canberra,Darwin,Hobart,Melb,Perth,Syd,Mitchell","composite walkability index, combining street connectivity, dwelling density and daily living destinations","ind_walkability.wa_soft AS walk_17_soft,",LEFT JOIN ind_walkability ON p.gnaf_pid = ind_walkability.gnaf_pid
